Date,Product,Quantity,Price,Customer
2023-08-23,Product_1,6,54.06495463876847,Customer_53
2023-01-15,Product_6,2,77.96385661895904,Customer_61
2023-07-13,Product_9,4,26.9905197445276,Customer_18
2023-10-26,Product_5,7,47.31807387600026,Customer_58
2023-08-02,Product_2,8,47.51353725706251,Customer_81
2023-07-15,Product_7,1,56.07130379343768,Customer_15
2023-05-19,Product_5,2,19.62930657008222,Customer_35
2023-03-16,Product_3,8,14.850303835936359,Customer_3
2023-12-20,Product_7,2,23.057069632307908,Customer_36
2023-03-23,Product_7,1,75.16764555482997,Customer_43
2023-08-14,Product_1,7,69.57020606650998,Customer_77
2023-09-28,Product_7,8,71.93527259000292,Customer_8
2023-07-12,Product_1,6,27.032055117499983,Customer_94
2023-02-25,Product_1,9,32.730914950635096,Customer_61
2023-05-18,Product_5,2,68.44187179690124,Customer_37
2023-10-03,Product_10,2,84.2626326931564,Customer_65
2023-06-28,Product_6,4,42.29251930803754,Customer_84
2023-12-11,Product_10,4,20.770435220502662,Customer_3
2023-11-03,Product_1,10,33.53264207519058,Customer_71
2023-02-21,Product_1,7,50.20761592599643,Customer_72
2023-04-17,Product_8,1,27.347013841015958,Customer_9
2023-09-16,Product_4,1,82.69314890391648,Customer_79
2023-09-23,Product_4,9,46.81317254888477,Customer_2
2023-08-21,Product_8,3,55.00635137985209,Customer_61
2023-08-17,Product_6,6,89.56885091233744,Customer_66
2023-01-10,Product_3,7,87.8553233199115,Customer_38
2023-06-20,Product_4,2,69.03984914425041,Customer_90
2023-02-20,Product_9,1,64.84017803242912,Customer_40
2023-10-15,Product_1,8,31.632281505229514,Customer_87
2023-05-05,Product_4,2,68.429705286446,Customer_39
2023-08-25,Product_9,8,15.133071376658817,Customer_20
2023-07-27,Product_2,1,72.11433167924511,Customer_88
2023-09-07,Product_9,9,39.55859664700101,Customer_72
2023-05-05,Product_3,5,18.943393148957036,Customer_89
2023-06-27,Product_8,5,99.05923090488805,Customer_18
2023-02-22,Product_2,4,35.92025740216596,Customer_55
2023-06-22,Product_1,5,11.727957709900586,Customer_100
2023-08-03,Product_8,2,94.66276805679846,Customer_76
2023-05-09,Product_7,2,72.91733316760234,Customer_78
2023-11-18,Product_3,6,84.15554305453887,Customer_43
2023-06-07,Product_9,7,29.927388650360633,Customer_100
